상품명,스팩목록,가격
LG전자 오브제컬렉션 코드제로 A9S AX921BH4,"핸디스틱청소기/무선/흡입+물걸레(교체)/흡입력: 400W/스테이션: 싸이클론비움, 충전, UVC LED, 스탠드거치, 액서서리&배터리거치/먼지비움시간: 14초/먼지봉투: 1.2L/AI청소/LED라이트/싸이클론흡입/먼지감지센서/물분사/디지털인버터모터/워셔블먼지필터/[배터리] 사용시간: 1시간40분(최대)/분리형(1개)/리튬이온/[흡입구] 일반/추가브러쉬: 침구브러쉬, 솔형브러쉬, 틈새브러쉬, 각도조절툴/물걸레: 포함/고온/[색상/크기] 색상: 새틴그레이지/무게: 2.5kg/크기(가로x세로x깊이): 250x970x243mm",176500
쿠쿠전자 파워클론 슬림 CVC-G820NWM,"핸디스틱청소기/무선/흡입+물걸레(동시)/흡입력: 280W/스테이션: 먼지비움, 충전, 액서서리수납, 스탠드거치/먼지비움시간: 30초/먼지봉투: 2.5L/LED라이트/싸이클론흡입/오토스탑앤고/자동물공급/스마트인버터모터/워셔블헤파필터/[배터리] 사용시간: 30분(최대)/분리형(2개)/리튬이온/[흡입구] 와이드/추가브러쉬: 솔형브러쉬, 틈새브러쉬/물걸레: 포함/스팀/고온/[색상/크기] 색상: 카밍베이지/무게: 2.49kg/크기(가로x세로x깊이): 300x1100x245mm/출시가: 1,660,000원",479155
디베아 원스텝,"핸디스틱청소기/무선/흡입+물걸레(동시)/흡입력: 280W/스테이션: 먼지비움, 충전, 액서서리수납, 스탠드거치/먼지비움시간: 30초/먼지봉투: 2.5L/LED라이트/싸이클론흡입/오토스탑앤고/자동물공급/스마트인버터모터/워셔블헤파필터/[배터리] 사용시간: 30분(최대)/분리형(2개)/리튬이온/[흡입구] 와이드/추가브러쉬: 솔형브러쉬, 틈새브러쉬/물걸레: 포함/스팀/고온/[색상/크기] 색상: 카밍베이지/무게: 2.49kg/크기(가로x세로x깊이): 300x1100x245mm/출시가: 1,660,000원",951745
LG전자 코드제로 A5 AS520HA,"핸디스틱청소기/무선/흡입+물걸레(동시)/흡입력: 43,000Pa/LED라이트/UV살균/워셔블헤파필터/[배터리] 사용시간: 50분(최대)/내장형/리튬이온/[흡입구] 일반/추가브러쉬: 침구브러쉬, 솔형브러쉬, 틈새브러쉬, 카펫브러쉬, 패브릭브러쉬/물걸레: 포함/[색상/크기] 색상: 스노우화이트/무게: 2.2kg/크기(가로x세로x깊이): 245x1040x212mm",789000
무궁화전자 바로바로 MC-B250,"핸디스틱청소기/무선/흡입+물걸레(동시)/흡입력: 43,000Pa/LED라이트/UV살균/워셔블헤파필터/[배터리] 사용시간: 50분(최대)/내장형/리튬이온/[흡입구] 일반/추가브러쉬: 침구브러쉬, 솔형브러쉬, 틈새브러쉬, 카펫브러쉬, 패브릭브러쉬/물걸레: 포함/[색상/크기] 색상: 스노우화이트/무게: 2.2kg/크기(가로x세로x깊이): 245x1040x212mm",174890
칼만 에어 플렉스 DK-4012,"핸디스틱청소기/무선/흡입+물걸레(동시)/흡입력: 220W/스테이션: 먼지비움, 충전, 액서서리수납, 스탠드거치/먼지비움시간: 30초/먼지봉투: 2.5L/싸이클론흡입/자동물공급/스마트인버터모터/[배터리] 사용시간: 1시간(최대)/분리형(1개)/리튬이온/[흡입구] 일반/추가브러쉬: 침구브러쉬, 솔형브러쉬, 틈새브러쉬/물걸레: 포함/[색상/크기] 색상: 카밍베이지/무게: 2.47kg/크기(가로x세로x깊이): 250x1120x260mm",339000
LG전자 오브제컬렉션 코드제로 A9 AI AI927BA,"핸디스틱청소기/무선/흡입+물걸레(동시)/흡입력: 220W/스테이션: 먼지비움, 충전, 액서서리수납, 스탠드거치/먼지비움시간: 30초/먼지봉투: 2.5L/싸이클론흡입/자동물공급/스마트인버터모터/[배터리] 사용시간: 1시간(최대)/분리형(1개)/리튬이온/[흡입구] 일반/추가브러쉬: 침구브러쉬, 솔형브러쉬, 틈새브러쉬/물걸레: 포함/[색상/크기] 색상: 카밍베이지/무게: 2.47kg/크기(가로x세로x깊이): 250x1120x260mm",406746
로보락 F25 Ultra,"핸디스틱청소기/무선/흡입전용/스테이션: 먼지비움, 충전, 스탠드거치/LED라이트/먼지감지센서/워셔블먼지필터/[배터리] 사용시간: 45분(최대)/리튬이온/[흡입구] 일반/레이저/추가브러쉬: 침구브러쉬, 펫브러쉬, 틈새브러쉬/[색상/크기] 색상: 라이트 쿠퍼/무게: 2.2kg/크기(가로x세로x깊이): 228x1080x321mm",37000
LG전자 오브제컬렉션 코드제로 A9S AX9884WE,"핸디스틱청소기/무선/흡입전용/스테이션: 먼지비움, 충전, 스탠드거치/LED라이트/먼지감지센서/워셔블먼지필터/[배터리] 사용시간: 45분(최대)/리튬이온/[흡입구] 일반/레이저/추가브러쉬: 침구브러쉬, 펫브러쉬, 틈새브러쉬/[색상/크기] 색상: 라이트 쿠퍼/무게: 2.2kg/크기(가로x세로x깊이): 228x1080x321mm",1175990
모리츠 티니토 MO-BL8000W,"핸디스틱청소기/무선/흡입전용/흡입력: 100W/스테이션: 충전, 벽걸이거치/싸이클론흡입/워셔블헤파필터/[배터리] 사용시간: 40분(최대)/분리형(1개)/[흡입구] 일반/추가브러쉬: 펫브러쉬, 솔형브러쉬, 틈새브러쉬/[색상/크기] 색상: 니켈/크기(가로x세로x깊이): 250x1100x250mm",1011990
에어메이드 THE 500 플러스 AMC-4500,"핸디스틱청소기/무선/흡입전용/흡입력: 100W/스테이션: 충전, 벽걸이거치/싸이클론흡입/워셔블헤파필터/[배터리] 사용시간: 40분(최대)/분리형(1개)/[흡입구] 일반/추가브러쉬: 펫브러쉬, 솔형브러쉬, 틈새브러쉬/[색상/크기] 색상: 니켈/크기(가로x세로x깊이): 250x1100x250mm",848000
다이슨 디지털 슬림 옵틱,"핸디스틱청소기/무선/흡입전용/흡입력: 55W/스테이션: 충전, 스탠드거치, 액서서리&배터리거치/LED라이트/[배터리] 사용시간: 30분(최대)/[흡입구] 전방향회전/추가브러쉬: 솔형브러쉬, 틈새브러쉬/[색상/크기] 무게: 1.8kg/크기(가로x세로x깊이): 226x1160x83mm",848000
